วันที่,รหัสหวย,รางวัลทั้งหมด,4ตัวบน,3ตัวบน,2ตัวล่าง
2026-05-04,LV_R47,,,,
2026-05-04,LV_R48,,,,
2026-05-04,LV_R49,,,,
2026-05-04,LV_R50,,,,
2026-05-04,LV_R51,,,,
2026-05-04,LV_R52,,,,
2026-05-04,LV_R54,,,,
2026-05-04,LV_R55,,,,
2026-05-04,LV_R57,,,,
2026-05-04,LV_R58,,,,
2026-05-04,LV_R59,,,,
2026-05-04,LV_R60,,,,
2026-05-04,LV_R61,,,,
2026-05-04,LV_R86,,,,
2026-05-04,LV_R62,,,,
2026-05-04,LV_R63,,,,
2026-05-04,LV_R64,,,,
2026-05-04,LV_R65,,,,
2026-05-04,LV_R66,,,,
2026-05-04,LV_R67,,,,
2026-05-04,LV_R68,,,,
2026-05-04,LV_R69,,,,
2026-05-04,LV_R70,,,,
2026-05-04,LV_R71,,,,
2026-05-04,LV_R72,,,,
2026-05-04,LV_R73,,,,
2026-05-04,LV_R74,,,,
2026-05-04,LV_R75,,,,
2026-05-04,LV_R76,,,,
2026-05-04,LV_R77,,,,
2026-05-04,LV_R78,,,,
2026-05-04,LV_R03,"{'lottoType': 'LV_R03', 'mainNumber': '606337', 'B4': '6063', 'B3': '063', 'B2': '63', 'L2': '37', 'T4': '0366', 'T3': '036', 'L3': []}",,,
2026-05-04,LV_R79,,,,
2026-05-04,LV_R80,,,,
2026-05-04,LV_R81,,,,
2026-05-04,LV_R82,,,,
2026-05-04,LV_R83,,,,
2026-05-04,LV_R84,,,,
2026-05-04,LV_R85,,,,
2026-05-04,LV_R87,,,,
2026-05-04,LV_R88,,,,
2026-05-04,LV_R89,,,,
2026-05-04,LV_R90,,,,
2026-05-04,LV_R04,"{'lottoType': 'LV_R04', 'mainNumber': '003645', 'B4': '0036', 'B3': '036', 'B2': '36', 'L2': '45', 'T4': '0036', 'T3': '036', 'L3': []}",,,
2026-05-04,LV_R05,"{'lottoType': 'LV_R05', 'mainNumber': '501151', 'B4': '5011', 'B3': '011', 'B2': '11', 'L2': '51', 'T4': '0115', 'T3': '011', 'L3': []}",,,
2026-05-04,LV_R06,"{'lottoType': 'LV_R06', 'mainNumber': '896697', 'B4': '8966', 'B3': '966', 'B2': '66', 'L2': '97', 'T4': '6689', 'T3': '669', 'L3': []}",,,
